configuration,precision,recall,f1,fpr
Original weights (paper),0.971,1.0,0.985,0.008
Equal weights (0.20 each),1.0,1.0,1.0,0.0
Drop temporal signal,0.952,1.0,0.976,0.012
Drop behavioural signal,0.943,1.0,0.971,0.015
Drop volumetric signal,0.98,0.99,0.985,0.005
Drop geo_device signal,0.943,1.0,0.971,0.015
Drop role_norm signal,0.962,1.0,0.98,0.01
temporal +50% (renormalized),0.98,1.0,0.99,0.005
temporal -50% (renormalized),0.962,1.0,0.98,0.01
behavioural +50% (renormalized),0.971,1.0,0.985,0.008
behavioural -50% (renormalized),0.971,1.0,0.985,0.008
volumetric +50% (renormalized),0.952,1.0,0.976,0.012
volumetric -50% (renormalized),0.98,1.0,0.99,0.005
geo_device +50% (renormalized),0.943,1.0,0.971,0.015
geo_device -50% (renormalized),0.971,1.0,0.985,0.008
role_norm +50% (renormalized),0.98,1.0,0.99,0.005
role_norm -50% (renormalized),0.962,1.0,0.98,0.01
